"channel_title","Avg Likes","Avg Dislikes","Avg Rating","Frequency","Main Category"
"CrashCourse",1616,141,9,6,"Education"
"CrashRacing",14185,880,9,8,"Autos & Vehicles"
"CrazyLaughAction",255,8,10,4,"Comedy"
"CrazyRussianHacker",25003,1462,9,78,"Science & Technology"
"Cristi Cristian",5362,226,10,2,"Entertainment"
"CrossFit®",1890,1492,6,13,"Sports"
"CrossKut316",619,2,10,2,"Music"
"CrowsEyeProductions",6232,293,10,5,"Film & Animation"
"Crusoe the Celebrity Dachshund",3529,137,10,9,"Pets & Animals"
"CS Dojo",6880,137,10,4,"Education"
"Cultaholic",4292,187,10,5,"Sports"
"CupcakeJemma",4340,48,10,23,"Howto & Style"
"Cut",20879,353,10,64,"Entertainment"
"CyclingTips",66,9,9,2,"Sports"
"CYNVEVO",2865,139,10,7,"Music"
"Cyprus Air Heating, Cooling and Fireplaces",1276,336,8,4,"People & Blogs"
"ТСН",1667,418,8,1,"News & Politics"
"Никита Ордынский",134395,1032,10,13,"Film & Animation"
"Алексей Навальный",365439,63579,9,1,"Nonprofits & Activism"
"D3sports.com",111,65,6,5,"Sports"
"Daelric",384,11,10,2,"People & Blogs"
"DaHoopSpot Productions",8,12,4,6,"Sports"
"Daily Caller",9347,223806,0,3,"People & Blogs"
"Daily Davidsons",2409,35,10,4,"Entertainment"
"Daily Dose Of Internet",69030,3111,10,26,"Entertainment"
"Daisy Marquez",23152,1725,9,26,"People & Blogs"
"Dale Dai",17274,545,10,1,"People & Blogs"
"DALLMYD",34435,883,10,20,"Sports"
"DamonAndJo",5011,122,10,43,"Comedy"
"DanAndPhilGAMES",82489,258,10,6,"Gaming"
"Dancing On Ice",0,0,NA,7,"Entertainment"
"Dancing With The Stars",5608,234,10,21,"Entertainment"
"Dani Ochoa",106298,3570,10,12,"Entertainment"
"Daniel Howell",223354,952,10,4,"People & Blogs"
"danisnotinteresting",21376,74,10,5,"Entertainment"
"dannotv",459,152,8,1,"Entertainment"
"Danny Sapko",7758,183,10,2,"Music"
"DanTDM",88588,2218,10,15,"Entertainment"
"daronjay",9,0,10,3,"Music"
"Darren Criss",6568,21,10,5,"Music"
"Dave Lee",12108,553,10,10,"Science & Technology"
"DaveHax",10302,1713,9,16,"Howto & Style"
"Davey Swatpaz",358,5,10,2,"Comedy"
"David Archuleta",5902,90,10,6,"Music"
"David Guetta",108454,3213,10,45,"Music"
"David Jardine",431,14,10,4,"Comedy"
"David Seymour",4195,68,10,1,"Entertainment"
"David Sistaro",1419,35,10,7,"Music"
"David Steuer",49,7,9,1,"People & Blogs"
"David Windestal",1053,34,10,5,"Science & Technology"
"Davie504",40458,414,10,35,"Entertainment"
"Dawid Szmandra",4648,111,10,8,"Science & Technology"
"Daz Games",21577,460,10,3,"Entertainment"
"Dean Anderson",6,6,5,1,"Pets & Animals"
"Deep Look",10859,404,10,15,"Science & Technology"
"Define American",0,0,NA,4,"Nonprofits & Activism"
"dekuNukem",6,1,9,3,"Science & Technology"
"Demi Lovato",33541,649,10,7,"Entertainment"
"DemiLovatoVEVO",413278,7263,10,25,"Music"
"Denitslava Makeup",15838,282,10,20,"Howto & Style"
"Dennis Kapatos",1444,50,10,6,"Science & Technology"
"Derek Hough",1711,157,9,9,"Entertainment"
"Desi Perkins",29157,533,10,34,"Howto & Style"
"Desimpedidos",1017472,3596,10,3,"Sports"
"Desktop Makes",135,1,10,3,"Science & Technology"
"Despierta América",461,27,9,6,"Entertainment"
"Desus & Mero",1304,189,9,4,"Entertainment"
"devinsupertramp",6232,267,10,2,"Entertainment"
"Diet Coke",1518,3932,3,8,"Howto & Style"
"Dina Tokio",3704,122,10,2,"Howto & Style"
"Diplo",186368,10501,10,31,"Music"
"Discovery UK",17424,1646,9,28,"Entertainment"
"Dish Nation",174,8,10,3,"Comedy"
"Disney Descendants",32499,3720,9,10,"Entertainment"
"Disney Movie Trailers",66886,3649,9,40,"Film & Animation"
"Disney On Broadway",18330,1709,9,14,"Entertainment"
"Disney Parks",869,33,10,20,"Travel & Events"
"Disney•Pixar",340600,11161,10,39,"Film & Animation"
"Disneyland Experience",188,9,10,3,"Entertainment"
"DisneyMusicVEVO",27495,789,10,29,"Music"
"DIY Perks",50160,1980,10,8,"Howto & Style"
"Dj Earworm",15433,1800,9,7,"Music"
"DJI",0,0,NA,4,"Film & Animation"
"DJKhaledVEVO",118403,7920,9,14,"Music"
"DJSnakeVEVO",118412,1726,10,7,"Music"
"DKDKTV",423,3,10,3,"Entertainment"
"Dobre Brothers",48329,14631,8,18,"People & Blogs"
